DepthOverDB, 	ErosionPotential
0.541,	-8.17437
0.542,	-8.16549
0.543,	-8.15662
0.544,	-8.14774
0.545,	-8.13887
0.546,	-8.12999
0.547,	-8.12112
0.548,	-8.11224
0.549,	-8.10337
0.55,	-8.09449
0.551,	-8.082
0.552,	-8.06768
0.553,	-8.05336
0.554,	-8.03904
0.555,	-8.02473
0.556,	-8.01041
0.557,	-7.99609
0.558,	-7.98177
0.559,	-7.96746
0.56,	-7.95314
0.561,	-7.93882
0.562,	-7.9245
0.563,	-7.91019
0.564,	-7.89587
0.565,	-7.88155
0.566,	-7.86724
0.567,	-7.85292
0.568,	-7.8386
0.569,	-7.82428
0.57,	-7.80997
0.571,	-7.79565
0.572,	-7.78133
0.573,	-7.76701
0.574,	-7.7527
0.575,	-7.73838
0.576,	-7.72406
0.577,	-7.70975
0.578,	-7.69543
0.579,	-7.68111
0.58,	-7.66679
0.581,	-7.65248
0.582,	-7.63816
0.583,	-7.62384
0.584,	-7.60952
0.585,	-7.59521
0.586,	-7.58089
0.587,	-7.56657
0.588,	-7.55226
0.589,	-7.53794
0.59,	-7.52362
0.591,	-7.5093
0.592,	-7.49499
0.593,	-7.48067
0.594,	-7.46635
0.595,	-7.45203
0.596,	-7.43772
0.597,	-7.4234
0.598,	-7.40908
0.599,	-7.39477
0.6,	-7.38045
0.601,	-7.36613
0.602,	-7.35181
0.603,	-7.3375
0.604,	-7.32318
0.605,	-7.30886
0.606,	-7.29454
0.607,	-7.28023
0.608,	-7.26591
0.609,	-7.25159
0.61,	-7.23728
0.611,	-7.22296
0.612,	-7.20864
0.613,	-7.19432
0.614,	-7.18001
0.615,	-7.16569
0.616,	-7.15137
0.617,	-7.13705
0.618,	-7.12274
0.619,	-7.10842
0.62,	-7.0941
0.621,	-7.07979
0.622,	-7.06547
0.623,	-7.05115
0.624,	-7.03683
0.625,	-7.02252
0.626,	-7.0082
0.627,	-6.99388
0.628,	-6.97956
0.629,	-6.96525
0.63,	-6.95093
0.631,	-6.93661
0.632,	-6.92229
0.633,	-6.90798
0.634,	-6.89366
0.635,	-6.87934
0.636,	-6.86503
0.637,	-6.85071
0.638,	-6.83639
0.639,	-6.82207
0.64,	-6.80776
0.641,	-6.79344
0.642,	-6.77912
0.643,	-6.7648
0.644,	-6.75049
0.645,	-6.73617
0.646,	-6.72185
0.647,	-6.70754
0.648,	-6.69322
0.649,	-6.6789
0.65,	-6.66458
0.651,	-6.65027
0.652,	-6.63595
0.653,	-6.62163
0.654,	-6.60731
0.655,	-6.593
0.656,	-6.57868
0.657,	-6.56436
0.658,	-6.55005
0.659,	-6.53573
0.66,	-6.52141
0.661,	-6.50709
0.662,	-6.49278
0.663,	-6.47846
0.664,	-6.46414
0.665,	-6.44982
0.666,	-6.43551
0.667,	-6.42119
0.668,	-6.40687
0.669,	-6.39256
0.67,	-6.37824
0.671,	-6.36392
0.672,	-6.3496
0.673,	-6.33529
0.674,	-6.32097
0.675,	-6.30665
0.676,	-6.29233
0.677,	-6.27802
0.678,	-6.2637
0.679,	-6.24938
0.68,	-6.23507
0.681,	-6.22075
0.682,	-6.20643
0.683,	-6.19211
0.684,	-6.1778
0.685,	-6.16348
0.686,	-6.14916
0.687,	-6.13484
0.688,	-6.12053
0.689,	-6.10621
0.69,	-6.09189
0.691,	-6.07758
0.692,	-6.06326
0.693,	-6.04894
0.694,	-6.03462
0.695,	-6.02031
0.696,	-6.00599
0.697,	-5.99167
0.698,	-5.97735
0.699,	-5.96304
0.7,	-5.94872
0.701,	-5.9344
0.702,	-5.92008
0.703,	-5.90577
0.704,	-5.89145
0.705,	-5.87713
0.706,	-5.86282
0.707,	-5.8485
0.708,	-5.83418
0.709,	-5.81986
0.71,	-5.80555
0.711,	-5.79123
0.712,	-5.77691
0.713,	-5.76259
0.714,	-5.74828
0.715,	-5.73396
0.716,	-5.71964
0.717,	-5.70533
0.718,	-5.69101
0.719,	-5.67669
0.72,	-5.66237
0.721,	-5.64806
0.722,	-5.63374
0.723,	-5.61942
0.724,	-5.6051
0.725,	-5.59079
0.726,	-5.57647
0.727,	-5.56215
0.728,	-5.54784
0.729,	-5.53352
0.73,	-5.5192
0.731,	-5.50488
0.732,	-5.49057
0.733,	-5.47625
0.734,	-5.46193
0.735,	-5.44761
0.736,	-5.4333
0.737,	-5.41898
0.738,	-5.40466
0.739,	-5.39035
0.74,	-5.37603
0.741,	-5.36171
0.742,	-5.34739
0.743,	-5.33308
0.744,	-5.31876
0.745,	-5.30444
0.746,	-5.29012
0.747,	-5.27581
0.748,	-5.26149
0.749,	-5.24717
0.75,	-5.23286
0.751,	-5.21854
0.752,	-5.20422
0.753,	-5.1899
0.754,	-5.1985
0.755,	-5.20738
0.756,	-5.21625
0.757,	-5.22513
0.758,	-5.234
0.759,	-5.24288
0.76,	-5.25175
0.761,	-5.26063
0.762,	-5.2695
0.763,	-5.27838
0.764,	-5.28726
0.765,	-5.29613
0.766,	-5.30501
0.767,	-5.31388
0.768,	-5.32276
0.769,	-5.33163
0.77,	-5.34051
0.771,	-5.34938
0.772,	-5.35826
0.773,	-5.36713
0.774,	-5.37601
0.775,	-5.38489
0.776,	-5.39376
0.777,	-5.40264
0.778,	-5.41151
0.779,	-5.42039
0.78,	-5.42926
0.781,	-5.43814
0.782,	-5.44701
0.783,	-5.45589
0.784,	-5.46476
0.785,	-5.47364
0.786,	-5.48251
0.787,	-5.49139
0.788,	-5.50027
0.789,	-5.50914
0.79,	-5.51802
0.791,	-5.52689
0.792,	-5.53577
0.793,	-5.54464
0.794,	-5.55352
0.795,	-5.56239
0.796,	-5.57127
0.797,	-5.58014
0.798,	-5.58902
0.799,	-5.5979
0.8,	-5.60677
0.801,	-5.61565
0.802,	-5.62452
0.803,	-5.6334
0.804,	-5.63936
0.805,	-5.644
0.806,	-5.64864
0.807,	-5.65329
0.808,	-5.65793
0.809,	-5.66257
0.81,	-5.66721
0.811,	-5.67186
0.812,	-5.6765
0.813,	-5.68114
0.814,	-5.68578
0.815,	-5.69043
0.816,	-5.69507
0.817,	-5.69971
0.818,	-5.70435
0.819,	-5.709
0.82,	-5.71364
0.821,	-5.71828
0.822,	-5.72292
0.823,	-5.72757
0.824,	-5.73221
0.825,	-5.73685
0.826,	-5.74149
0.827,	-5.74614
0.828,	-5.75078
0.829,	-5.75542
0.83,	-5.76006
0.831,	-5.76471
0.832,	-5.76935
0.833,	-5.77399
0.834,	-5.77863
0.835,	-5.78328
0.836,	-5.78792
0.837,	-5.79256
0.838,	-5.7972
0.839,	-5.80185
0.84,	-5.80649
0.841,	-5.81113
0.842,	-5.81577
0.843,	-5.82042
0.844,	-5.82506
0.845,	-5.8297
0.846,	-5.83434
0.847,	-5.83899
0.848,	-5.84363
0.849,	-5.84827
0.85,	-5.85291
0.851,	-5.85756
0.852,	-5.8622
0.853,	-5.86684
0.854,	-5.87148
0.855,	-5.87613
0.856,	-5.88077
0.857,	-5.88541
0.858,	-5.89005
0.859,	-5.8947
0.86,	-5.89934
0.861,	-5.90398
0.862,	-5.90862
0.863,	-5.91327
0.864,	-5.91791
0.865,	-5.92255
0.866,	-5.92719
0.867,	-5.93184
0.868,	-5.93648
0.869,	-5.94112
0.87,	-5.94576
0.871,	-5.95041
0.872,	-5.95505
0.873,	-5.95969
0.874,	-5.96433
0.875,	-5.96898
0.876,	-5.97362
0.877,	-5.97826
0.878,	-5.9829
0.879,	-5.98755
0.88,	-5.99219
0.881,	-5.99683
0.882,	-6.00147
0.883,	-6.00612
0.884,	-6.01076
0.885,	-6.0154
0.886,	-6.02004
0.887,	-6.02469
0.888,	-6.02933
0.889,	-6.03397
0.89,	-6.03862
0.891,	-6.04326
0.892,	-6.0479
0.893,	-6.05254
0.894,	-6.05719
0.895,	-6.06183
0.896,	-6.06647
0.897,	-6.07111
0.898,	-6.07576
0.899,	-6.0804
0.9,	-6.0842
0.901,	-6.08726
0.902,	-6.09032
0.903,	-6.09338
0.904,	-6.09644
0.905,	-6.0995
0.906,	-6.10255
0.907,	-6.10561
0.908,	-6.10867
0.909,	-6.11173
0.91,	-6.11479
0.911,	-6.11785
0.912,	-6.12091
0.913,	-6.12396
0.914,	-6.12702
0.915,	-6.13008
0.916,	-6.13314
0.917,	-6.1362
0.918,	-6.13926
0.919,	-6.14231
0.92,	-6.14537
0.921,	-6.14843
0.922,	-6.15149
0.923,	-6.15455
0.924,	-6.15761
0.925,	-6.16066
0.926,	-6.16372
0.927,	-6.16678
0.928,	-6.16984
0.929,	-6.1729
0.93,	-6.17596
0.931,	-6.17902
0.932,	-6.18207
0.933,	-6.18513
0.934,	-6.18819
0.935,	-6.19125
0.936,	-6.19431
0.937,	-6.19737
0.938,	-6.20042
0.939,	-6.20348
0.94,	-6.20654
0.941,	-6.2096
0.942,	-6.21266
0.943,	-6.21572
0.944,	-6.21877
0.945,	-6.22183
0.946,	-6.22489
0.947,	-6.22795
0.948,	-6.23101
0.949,	-6.23407
0.95,	-6.23713
0.951,	-6.24018
0.952,	-6.24324
0.953,	-6.2463
0.954,	-6.24936
0.955,	-6.17411
0.956,	-6.0781
0.957,	-5.98208
0.958,	-5.88607
0.959,	-5.79005
0.96,	-5.69403
0.961,	-5.59802
0.962,	-5.502
0.963,	-5.40599
0.964,	-5.30997
0.965,	-5.21395
0.966,	-5.11794
0.967,	-5.02192
0.968,	-4.92591
0.969,	-4.82989
0.97,	-4.73388
0.971,	-4.63786
0.972,	-4.54184
0.973,	-4.44583
0.974,	-4.34981
0.975,	-4.2538
0.976,	-4.15778
0.977,	-4.06176
0.978,	-3.96575
0.979,	-3.86973
0.98,	-3.77372
0.981,	-3.6777
0.982,	-3.58168
0.983,	-3.48567
0.984,	-3.38965
0.985,	-3.29364
0.986,	-3.19762
0.987,	-3.1016
0.988,	-3.00559
0.989,	-2.90957
0.99,	-2.81356
0.991,	-2.71754
0.992,	-2.62152
0.993,	-2.52551
0.994,	-2.42949
0.995,	-2.33348
0.996,	-2.23746
0.997,	-2.14145
0.998,	-2.04543
0.999,	-1.94941
1,	-1.8534
1.001,	-1.75738
1.002,	-1.66137
1.003,	-1.56535
1.004,	-1.50074
1.005,	-1.43708
1.006,	-1.37343
1.007,	-1.30978
1.008,	-1.24612
1.009,	-1.18247
1.01,	-1.11882
1.011,	-1.05516
1.012,	-0.991509
1.013,	-0.927855
1.014,	-0.864202
1.015,	-0.800548
1.016,	-0.736895
1.017,	-0.673242
1.018,	-0.609588
1.019,	-0.545935
1.02,	-0.482281
1.021,	-0.418628
1.022,	-0.354975
1.023,	-0.291321
1.024,	-0.227668
1.025,	-0.164014
1.026,	-0.100361

